word,note,duration,velocity
und,D4,500,50
Thymian,C4,500,100
hinein.,D4,400,80
„Lecker!“,A4,400,90
sagte,Bb4,600,50
Mrs.,G4,800,90
Wolf.,F4,600,90
Mrs.,G4,300,100
Wolf,F4,600,100
deckte,G4,600,70
den,E4,500,80
Tisch.,F4,800,90
Sie,E4,600,70
brachte,F4,600,80
eine,G4,400,100
große,E4,300,80
"Schüssel,",F4,500,100
einen,Bb4,800,80
großen,A4,300,80
Löffel,G4,300,70
und,D4,500,50
einen,E4,600,80
enormen,D4,400,80
Stampfer,E4,800,100
mit.,G4,300,90
Dann,F4,600,90
ging,E4,300,90
sie,F4,400,80
ins,E4,600,70
Wohnzimmer.,D4,800,100
Der,C4,300,100
kleine,G4,300,80
Lambert,A4,500,90
spielte,Bb4,500,80
im,A4,500,100
Laufstall,G4,800,80
mit,A4,500,80
Holzperlen.,Bb4,400,70
„ESSEN,Bb4,600,70
IST,F3,500,80
FAST,F3,500,70
FERTIG!“,G3,800,70
sagte,A3,300,50
Mrs.,G3,300,80
"Wolf,",F3,600,90
als,F3,600,70
sie,Bb4,600,80
den,A4,800,90
kleinen,G4,600,100
Lambert,F4,600,100
um,E4,400,80
den,F4,400,80
Bauch,Bb4,500,90
fasste,A4,800,90
und,Bb4,300,50
eilig,A4,400,80
mit,G4,400,70
ihm,A4,400,100
in,G4,500,90
die,Bb4,800,50
Küche,A4,400,80
lief.,G4,600,90
Lambert,G3,800,80
war,F3,300,100
hungrig.,E3,600,70
Er,F3,400,90
roch,E3,500,90
Eintopf.,C3,400,90
„Ich,D3,800,70
habe,G3,300,70
Hunger“,A3,600,70
sagte,B3,300,50
er.,G3,400,70
„Ich,F3,400,80
auch!“,G3,800,70
sagte,A3,300,50
Mrs.,D4,600,90
Wolf,C4,600,100
und,D4,600,50
ihre,E4,500,90
riesigen,D4,800,80
Zähne,C4,400,100
schimmerten,B3,400,70
bei,F4,500,80
dem,C3,300,70
Gedanken,D3,400,100
an,C3,800,100
eine,C3,500,100
delikate,D3,500,90
Mahlzeit.,E3,300,100
„Riech,B3,500,80
nur,C4,500,80
den,B3,800,100
Eintopf,A3,400,90
mein,B3,400,70
süßer,C4,600,80
Schatz!“,B3,600,100
sagte,F3,400,50
sie,G3,800,90
und,F3,300,50
hielt,E3,300,90
den,D3,300,80
kleinen,C3,500,70
Lambert,D3,400,70
über,A3,800,90
den,G3,500,100
Kochtopf.,F3,400,100
„Er,E3,500,100
wartet,F3,600,70
schon,G3,400,100
auf,A3,800,90
dich!“,C4,500,70
Mrs.,G3,300,70
Wolf,F3,500,70
schwang,G3,400,90
Lambert,A3,500,70
dreimal,B3,800,80
über,F3,300,100
den,B3,400,100
Topf.,A3,600,70
Dann,B3,600,70
warf,A3,600,100
sie,F3,800,100
ihn,G3,500,70
auf,F3,500,80
das,C4,600,70
Hackbrett.,D4,400,80
Sie,F3,800,80
nahm,G3,500,70
den,F3,600,80
Stampfer.,G3,500,70
Er,A3,500,90
war,F3,400,100
sehr,G3,800,70
groß.,D4,400,100
Er,E4,400,80
war,D4,500,90
sehr,Bb3,600,90
schwer.,A3,300,70
Er,G3,800,70
hatte,A3,500,80
sehr,D4,400,90
scharfe,Bb3,400,100
Zacken.,A3,400,80
Mrs.,G3,600,90
Wolf,A3,800,90
hob,G3,300,100
ihn,E3,600,80
hoch,Bb3,500,100
in,A3,300,80
die,Bb3,300,50
Luft.,A3,800,80
„JETZT!“,F3,400,80
sagte,E3,400,50
Mrs.,D3,500,80
"Wolf,",A3,400,80
holte,G3,400,100
mächtig,F3,800,90
aus,G3,600,90
und,F3,500,50
schlug,G3,500,100
den,A3,500,80
Stampfer,E3,600,90
mit,D3,800,100
einem,E3,500,80
entsetzlichen….,D3,500,70
„WAMM!!!“,G4,500,70
in,D4,300,100
den,E4,400,100
Kochtopf.,G4,800,100
„So!“,Bb3,800,100
sagte,C4,400,50
Mrs.,D4,400,80
Wolf.,E4,300,90
„Das,F4,500,80
Essen,E4,500,90
ist,F4,800,70
zerstampft!,Bb4,600,90
Das,A4,500,70
Essen,Bb4,600,80
ist,A4,300,90
schön,Bb4,300,100
weich!,C5,800,80
Das,G3,500,80
Essen,C4,500,100
für,A3,500,80
mein,G3,300,70
kleines,C5,400,100
Lämmchen,G3,800,70
ist,C5,400,90
fertig!“,Bb4,300,90
Dann,C5,500,80
setzte,G3,500,90
sie,A3,500,90
sich,G3,800,70
an,G3,300,100
den,C5,300,80
Tisch.,G3,600,90
„Einer,C4,500,100
für,Bb3,300,90
dich“,G3,800,90
sagte,C5,500,50
Mrs.,G3,400,80
Wolf,C5,500,70
und,Bb4,300,50
schob,A4,600,90
Lambert,Bb4,800,70
etwas,A4,400,100
in,G4,400,70
den,F4,300,70
Mund.,D4,300,90
„Und,E4,400,70
einer,G4,800,90
für,F4,600,90
mich!“,G4,400,90
sagte,F4,500,50
sie,E4,500,90
und,D4,400,50
nahm,C4,800,90
sich,G4,400,100
den,F4,400,80
Rest,E4,300,80
auf,D4,300,70
dem,E4,500,90
Löffel.,D4,800,90
„Lecker!“,C4,500,80
sagte,E4,400,50
Mrs.,F4,400,100
Wolf,G4,500,100
als,A4,400,100
alles,G4,800,80
aufgegessen,F4,400,70
war.,G4,400,80
„War,C5,500,70
das,Bb4,300,100
nicht,A4,600,80
ein,Bb4,800,70
köstliches,A4,500,70
Rezept,G4,500,90
für,A4,400,80
kleine,F4,500,100
Lämmer?“,E4,300,90
Mrs.,D4,800,70
Wolf,C4,300,100
betastete,D4,400,100
Lamberts,E4,500,80
Bauch.,F4,600,70
Der,E4,500,100
war,D4,800,70
sehr,F4,300,80
voll.,G4,400,100
Der,A4,300,90
war,F4,600,90
sehr,G4,500,80
fett.,A4,800,70
Der,B4,400,70
wollte,D5,500,100
beinah,B4,300,80
platzen.,C5,300,90
„LECKER!“,B4,300,80
sagte,C5,800,50
Mrs.,D5,600,80
Wolf.,B4,500,100
„Genau,D5,500,80
wie,C5,600,100
ich,B4,600,80
es,A4,800,80
geplant,F4,500,70
hatte!“,G4,400,80
Mrs.,A4,500,70
Wolf,C5,500,80
ging,B4,400,80
in,F4,800,100
die,G4,400,50
Küche,F4,400,100
und,E4,500,50
setzte,D4,300,90
einen,B3,400,90
Kessel,C4,800,100
Wasser,B3,300,70
auf.,C4,500,80
Dann,D4,400,90
streute,C4,600,70
sie,D4,600,80
Tee,A4,800,80
in,B4,400,100
die,A4,300,50
"Kanne,",E4,300,90
goß,F4,600,70
das,E4,400,80
heiße,F4,800,80
Wasser,A4,600,70
darüber,F4,300,80
und,G4,600,50
ließ,A4,500,90
ihn,B4,400,80
ziehen.,A4,800,100
Lambert,E4,500,100
gähnte.,B4,500,100
Er,A4,300,90
war,G4,400,80
schläfrig.,A4,500,80
Es,F4,800,100
wurde,E4,500,90
Zeit,D4,500,90
ins,A4,300,70
Bett,B4,400,100
zu,F4,300,70
gehen.,E4,800,80
„Ich,D4,500,80
will,E4,300,80
zu,F4,500,70
meiner,D4,400,70
Mammi!“,C4,400,80
sagte,B3,800,50
Lambert.,A3,300,70
„Noch,B3,300,100
nicht,A3,400,90
mein,D5,400,70
Schatz!“,D5,600,70
sagte,A3,800,50
Mrs.,D5,400,100
Wolf.,C5,400,90
Mrs.,D5,500,70
Wolf,A3,500,90
holte,B3,600,100
die,D4,800,50
Teekanne.,B3,300,70
Sie,C4,600,90
dampfte!,D4,400,70
Lambert,C4,400,90
plumpste,B3,400,90
zu,A3,800,70
Boden.,C4,400,70
„JETZT!“,B3,300,70
sagte,C4,500,50
Mrs.,D4,300,100
"Wolf,",C4,300,80
kippte,B3,800,100
die,C4,600,50
Teekanne,F4,500,70
ein,E4,600,80
wenig,B3,500,80
und,C4,500,50
goss,D4,800,100
einen,C4,300,80
Strahl,D4,300,90
von,B3,500,70
kochend,C4,300,90
heißem,B3,300,100
Tee,A3,800,90
über…,D5,600,90
…eine,B4,500,70
Tasse!,C5,300,70
"„Hier,",D5,300,80
mein,C5,600,70
kleiner,D5,800,70
Lambert“,C5,300,90
sagte,D5,400,50
sie.,A3,400,70
„Ein,B3,500,90
Schluck,E4,600,80
für,B3,800,100
dich,C4,600,90
und,D4,500,50
ein,C4,400,100
Schluck,D4,400,70
für,C4,300,100
mich!“,E4,800,80
Sie,D4,300,80
rieb,C4,600,100
Lamberts,D4,300,80
Bauch.,A3,600,80
Dann,B3,600,90
rieb,A3,800,90
sie,C4,400,70
ihren,D4,600,70
eigenen,C4,400,90
Bauch.,D4,600,90
Plötzlich,C4,300,90
mussten,D4,800,80
beide,C4,400,100
RÜLPSEN!,A3,500,70
„Na,B3,600,90
also!“,A3,400,90
sagte,B3,400,50
Mrs.,A3,800,100
Wolf,A3,400,80
„Schon,D5,300,70
viel,D5,400,100
besser!“,A3,300,80
Sie,Eb3,800,80
drückte,F3,600,70
Lambert,G3,400,90
an,F3,600,100
sich,Eb3,400,80
und,D3,300,50
gab,Eb3,800,100
ihm,Ab3,600,80
einen,Bb3,300,100
Kuss.,C4,400,100
Sie,Ab3,400,90
zählte,Bb3,400,70
seine,Ab3,800,90
"Zehen,",Bb3,600,70
um,D4,300,100
"nachzusehen,",Bb3,600,70
ob,Ab3,500,100
noch,Bb3,600,100
alle,Ab3,800,100
da,G3,500,70
waren.,D3,400,100
Dann,Ab3,400,70
verschnürte,Bb3,400,80
sie,C4,400,70
Lambert,Bb3,800,80
in,Ab3,600,90
einem,Bb3,300,70
alten,Ab3,400,100
Kartoffelsack.,D4,600,90
Er,Eb4,500,70
war,D4,800,80
weich,C4,300,70
und,D4,500,50
warm.,C4,600,80
Lambert,D4,400,90
schlief,Bb3,600,80
ein.,Ab3,800,100
Mrs.,Bb3,500,100
Wolf,Ab3,300,70
trug,G3,300,70
den,Eb3,600,70
Sack,F3,500,80
aus,C4,800,100
der,D4,300,50
"tiefen,",Eb4,600,100
dunklen,C4,400,80
Höhle…,Bb3,600,70
…über,C4,500,100
die,D4,800,50
Wiese…,F4,500,80
…den,C4,300,80
ganzen,D4,400,70
Weg,C4,400,100
nach,Bb3,300,70
Haus,Ab3,800,80
zur,G3,600,80
Mammi!,C4,400,100
